code,school,previous_prom,education_form,specialization,romanian_level,native_subject,extra_language,extra_language_grades,mandatory_subject,chosen_subject,tic,avg,passed,native_level,county,year,full_school_name,city,medium,school_code,name_hu,city_ro,city_hu,county_ro,county_hu,school_type,mandatory_grade_initial,mandatory_grade_final,mandatory_grade_contestation,chosen_grade_initial,chosen_grade_final,chosen_grade_contestation,romanian_grade_initial,romanian_grade_final,romanian_grade_contestation,native_grade_initial,native_grade_final,native_grade_contestation,nationality,specialization_type
MS1331656,Unirea Tirgu Mures,False,Zi,Stiinte Ale Naturii,Experimentat,,Engleza,B2-B2-B2-B2-B2,Matematica,"Anatomie Si Fiziologie Umana, Genetica Si Ecologie Umana",Experimentat,9.799999999999999,2,,MS,2023,"Colegiul National ""Unirea"" Tirgu Mures",Tirgu Mures,True,2661104366,Unirea Nemzeti Kollégium,Tirgu Mures,Marosvasarhely,Mures,Maros,Colegiul National,10.0,10.0,0,10.0,10.0,0,9.4,9.4,0,0.0,0.0,0,Romana,Real
MS1332038,Unirea Tirgu Mures,False,Zi,Stiinte Ale Naturii,Experimentat,,Engleza,,Matematica,"Anatomie Si Fiziologie Umana, Genetica Si Ecologie Umana",Experimentat,9.799999999999999,2,,MS,2023,"Colegiul National ""Unirea"" Tirgu Mures",Tirgu Mures,True,2661104366,Unirea Nemzeti Kollégium,Tirgu Mures,Marosvasarhely,Mures,Maros,Colegiul National,10.0,10.0,0,10.0,10.0,0,9.4,9.4,0,0.0,0.0,0,Romana,Real
MS1332328,Unirea Tirgu Mures,False,Zi,Stiinte Ale Naturii,Experimentat,,Engleza,B2-B2-B2-B2-B2,Matematica,"Anatomie Si Fiziologie Umana, Genetica Si Ecologie Umana",Experimentat,9.75,2,,MS,2023,"Colegiul National ""Unirea"" Tirgu Mures",Tirgu Mures,True,2661104366,Unirea Nemzeti Kollégium,Tirgu Mures,Marosvasarhely,Mures,Maros,Colegiul National,9.65,9.65,0,10.0,10.0,0,9.6,9.6,0,0.0,0.0,0,Romana,Real
MS1329600,Unirea Tirgu Mures,False,Zi,Matematica-Informatica,Experimentat,,Engleza,,Matematica,Informatica C/C++,Experimentat,9.716666666666667,2,,MS,2023,"Colegiul National ""Unirea"" Tirgu Mures",Tirgu Mures,True,2661104366,Unirea Nemzeti Kollégium,Tirgu Mures,Marosvasarhely,Mures,Maros,Colegiul National,9.9,9.9,0,9.65,9.65,0,9.6,9.6,0,0.0,0.0,0,Romana,Real
MS1333744,Unirea Tirgu Mures,False,Zi,Stiinte Sociale,Experimentat,,Engleza,B2-B2-B2-B2-B2,Istorie,"Logica, Argumentare Si Comunicare",Experimentat,9.700000000000001,2,,MS,2023,"Colegiul National ""Unirea"" Tirgu Mures",Tirgu Mures,True,2661104366,Unirea Nemzeti Kollégium,Tirgu Mures,Marosvasarhely,Mures,Maros,Colegiul National,10.0,10.0,0,10.0,10.0,0,9.1,9.1,0,0.0,0.0,0,Romana,Uman
MS1332010,Unirea Tirgu Mures,False,Zi,Stiinte Ale Naturii,Experimentat,,Engleza,,Matematica,"Anatomie Si Fiziologie Umana, Genetica Si Ecologie Umana",Experimentat,9.683333333333334,2,,MS,2023,"Colegiul National ""Unirea"" Tirgu Mures",Tirgu Mures,True,2661104366,Unirea Nemzeti Kollégium,Tirgu Mures,Marosvasarhely,Mures,Maros,Colegiul National,10.0,10.0,0,10.0,10.0,0,9.05,9.05,0,0.0,0.0,0,Romana,Real
MS1334385,Unirea Tirgu Mures,False,Zi,Filologie,Experimentat,,Engleza,,Istorie,"Logica, Argumentare Si Comunicare",Neprezentat,9.683333333333332,2,,MS,2023,"Colegiul National ""Unirea"" Tirgu Mures",Tirgu Mures,True,2661104366,Unirea Nemzeti Kollégium,Tirgu Mures,Marosvasarhely,Mures,Maros,Colegiul National,10.0,10.0,0,9.4,9.4,0,9.65,9.65,0,0.0,0.0,0,Romana,Uman
MS1333671,Unirea Tirgu Mures,False,Zi,Stiinte Ale Naturii,Experimentat,,Germana Moderna,,Matematica,"Anatomie Si Fiziologie Umana, Genetica Si Ecologie Umana",Experimentat,9.65,2,,MS,2023,"Colegiul National ""Unirea"" Tirgu Mures",Tirgu Mures,True,2661104366,Unirea Nemzeti Kollégium,Tirgu Mures,Marosvasarhely,Mures,Maros,Colegiul National,9.55,9.55,0,10.0,10.0,0,9.4,9.4,0,0.0,0.0,0,Romana,Real
MS1331629,Unirea Tirgu Mures,False,Zi,Stiinte Ale Naturii,Experimentat,,Engleza,,Matematica,"Anatomie Si Fiziologie Umana, Genetica Si Ecologie Umana",Experimentat,9.616666666666667,2,,MS,2023,"Colegiul National ""Unirea"" Tirgu Mures",Tirgu Mures,True,2661104366,Unirea Nemzeti Kollégium,Tirgu Mures,Marosvasarhely,Mures,Maros,Colegiul National,9.8,9.8,0,9.75,9.75,0,9.3,9.3,0,0.0,0.0,0,Romana,Real
MS1334331,Unirea Tirgu Mures,False,Zi,Filologie,Experimentat,,Engleza,B2-B2-B2-B2-B2,Istorie,"Logica, Argumentare Si Comunicare",Experimentat,9.566666666666668,2,,MS,2023,"Colegiul National ""Unirea"" Tirgu Mures",Tirgu Mures,True,2661104366,Unirea Nemzeti Kollégium,Tirgu Mures,Marosvasarhely,Mures,Maros,Colegiul National,10.0,10.0,0,9.8,9.8,0,8.9,8.9,0,0.0,0.0,0,Romana,Uman
